date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:57:04	378832/378832	--FM--	200	added ('OK')	text/html		file://C:/karratha.html	C:/My%20Web%20Sites/ktown2wiki/file/C_/karratha.html	(from )
01:57:04	183950/183950	--FM--	200	added ('OK')	text/css		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/load.css	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/load.css	(from )
01:57:04	6773/6773	--FM--	200	added ('OK')	text/css		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/load_002.css	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/load_002.css	(from )
01:57:05	165902/165902	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Aug%202025%2012:17:21%20GMT	https://en.m.wikipedia.org/wiki/Karratha,_Western_Australia	C:/My%20Web%20Sites/ktown2wiki/en.m.wikipedia.org/wiki/Karratha,_Western_Australia.html	(from )
01:57:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Aug%202025%2017:57:05%20GMT	https://upload.wikimedia.org/	C:/My%20Web%20Sites/ktown2wiki/upload.wikimedia.org/index.html	(from )
01:57:06	118438/118438	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2017:57:06%20GMT	https://en.wikipedia.org/w/index.php?title=Karratha,_Western_Australia&action=edit	C:/My%20Web%20Sites/ktown2wiki/en.wikipedia.org/w/index302d.html	(from )
01:57:07	1313/1313	---M--	200	added ('OK')	image/png	etag:%22521-630cea0d56600%22	https://en.wikipedia.org/static/apple-touch/wikipedia.png	C:/My%20Web%20Sites/ktown2wiki/en.wikipedia.org/static/apple-touch/wikipedia.png	(from )
01:57:07	2734/2734	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22aae-630cea0d56600%22	https://en.wikipedia.org/static/favicon/wikipedia.ico	C:/My%20Web%20Sites/ktown2wiki/en.wikipedia.org/static/favicon/wikipedia.ico	(from )
01:57:08	906/906	---M-Z	200	added ('OK')	application/opensearchdescription+xml	date:Fri,%2008%20Aug%202025%2017:51:40%20GMT	https://en.wikipedia.org/w/rest.php/v1/search	C:/My%20Web%20Sites/ktown2wiki/en.wikipedia.org/w/rest.php/v1/search	(from )
01:57:09	605/605	---M-Z	200	added ('OK')	application/rsd+xml	date:Fri,%2008%20Aug%202025%2017:57:10%20GMT	https://en.wikipedia.org/w/api.php?action=rsd	C:/My%20Web%20Sites/ktown2wiki/en.wikipedia.org/w/api-result251f.xml	(from )
01:57:10	188760/188760	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Aug%202025%2012:17:21%20GMT	https://en.wikipedia.org/wiki/Karratha,_Western_Australia	C:/My%20Web%20Sites/ktown2wiki/en.wikipedia.org/wiki/Karratha,_Western_Australia.html	(from )
01:57:10	29254/29254	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Jun%202025%2013:19:38%20GMT	https://creativecommons.org/licenses/by-sa/4.0/deed.en	C:/My%20Web%20Sites/ktown2wiki/creativecommons.org/licenses/by-sa/4.0/deed.html	(from )
01:57:11	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2008%20Aug%202025%2017:57:11%20GMT	https://en.wikipedia.org/w/index.php?title=Special:RecentChanges&feed=atom	C:/My%20Web%20Sites/ktown2wiki/en.wikipedia.org/w/index.8890f.delayed	(from )
01:57:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Aug%202025%2017:38:51%20GMT	https://en.wikipedia.org/wiki/auth.wikimedia.org	C:/My%20Web%20Sites/ktown2wiki/en.wikipedia.org/wiki/auth.wikimedia.9.delayed	(from )
01:57:12	13444/13444	--FM--	200	added ('OK')	image/png		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/wikipedia.png	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/wikipedia.png	(from )
01:57:12	6170/6170	--FM--	200	added ('OK')	image/svg+xml		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/wikipedia-wordmark-en.svg	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/wikipedia-wordmark-en.svg	(from )
01:57:12	9444/9444	--FM--	200	added ('OK')	image/svg+xml		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/wikipedia-tagline-en.svg	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/wikipedia-tagline-en.svg	(from )
01:57:12	976/976	--FM--	200	added ('OK')	application/webp		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/WMA_button2b.png.webp	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/WMA_button2b.png.webp	(from )
01:57:12	9953/9953	--FM--	200	added ('OK')	image/jpeg		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/Karratha,_Western_Australia_002.jpg	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/Karratha,_Western_Australia_002.jpg	(from )
01:57:12	17048/17048	--FM--	200	added ('OK')	application/webp		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/Australia_Western_Australia_location_map.svg.webp	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/Australia_Western_Australia_location_map.svg.webp	(from )
01:57:12	596/596	--FM--	200	added ('OK')	application/webp		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/Red_pog.svg.webp	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/Red_pog.svg.webp	(from )
01:57:12	43494/43494	--FM--	200	added ('OK')	image/png		file://C:/Users/Sam/Pictures/Screenshots/Screenshot%202025-08-08%20214654.png	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Pictures/Screenshots/Screenshot%202025-08-08%20214654.png	(from )
01:57:12	444356/444356	--FM--	200	added ('OK')	image/png		file://C:/Users/Sam/Pictures/Screenshots/Screenshot%202025-08-09%20001537.png	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Pictures/Screenshots/Screenshot%202025-08-09%20001537.png	(from )
01:57:12	202/202	--FM--	200	added ('OK')	application/webp		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/OOjs_UI_icon_edit-ltr-progressive.svg.webp	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/OOjs_UI_icon_edit-ltr-progressive.svg.webp	(from )
01:57:12	608/608	--FM--	200	added ('OK')	application/webp		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/Commons-logo.svg_002.webp	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/Commons-logo.svg_002.webp	(from )
01:57:12	862/862	--FM--	200	added ('OK')	application/webp		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/Flag_of_Western_Australia.svg.webp	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/Flag_of_Western_Australia.svg.webp	(from )
01:57:12	1245543/1245543	--FM--	200	added ('OK')	image/png		file://C:/Users/Sam/Downloads/122121%20-%20SoyBooru.png	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Downloads/122121%20-%20SoyBooru.png	(from )
01:57:12	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Aug%202025%2017:56:16%20GMT	https://meta.wikimedia.org/	C:/My%20Web%20Sites/ktown2wiki/meta.wikimedia.org/index.html	(from )
01:57:12	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2008%20Aug%202025%2017:38:32%20GMT	https://en.wikipedia.org/wiki/Special:CentralAutoLogin/start?type=1x1&usesul3=1	C:/My%20Web%20Sites/ktown2wiki/en.wikipedia.org/wiki/Special_CentralAutoLogin/start.a4fba.delayed	(from )
01:57:12	742/742	--FM--	200	added ('OK')	image/svg+xml		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/wikimedia.svg	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/wikimedia.svg	(from )
01:57:12	3517/3517	--FM--	200	added ('OK')	image/svg+xml		file://C:/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/mediawiki_compact.svg	C:/My%20Web%20Sites/ktown2wiki/file/C_/Users/Sam/Desktop/Karratha,%20Western%20Australia%20-%20Wikipedia_files/mediawiki_compact.svg	(from )
01:57:13	53/53	---M--	200	added ('OK')	text/plain	etag:da12dc18910d62f6850b0676dc309ee7	https://upload.wikimedia.org/robots.txt		(from )
